"","Soil_moist","Ground_temp","Air_temp","Soil_temp","day","year","Month","Date"
"1",0.0896,7.015,6.712,9.879,1,2016,9,"09/01/16"
"2",0.0889,6.788,6.458,9.805,1,2016,9,"09/01/16"
"3",0.0882,6.611,6.306,9.731,1,2016,9,"09/01/16"
"4",0.0882,6.484,6.255,9.657,1,2016,9,"09/01/16"
"5",0.0874,6.357,6.077,9.583,1,2016,9,"09/01/16"
"6",0.0874,6.281,6,9.534,1,2016,9,"09/01/16"
"7",0.0874,6.204,5.872,9.485,1,2016,9,"09/01/16"
"8",0.0867,6.128,5.796,9.435,1,2016,9,"09/01/16"
"9",0.0867,6.051,5.77,9.41,1,2016,9,"09/01/16"
"10",0.0867,5.975,5.745,9.361,1,2016,9,"09/01/16"
"11",0.0867,5.924,5.642,9.312,1,2016,9,"09/01/16"
"12",0.0867,5.924,5.591,9.287,1,2016,9,"09/01/16"
"13",0.086,5.898,5.565,9.262,1,2016,9,"09/01/16"
"14",0.086,5.796,5.642,9.213,1,2016,9,"09/01/16"
"15",0.086,5.77,5.565,9.188,1,2016,9,"09/01/16"
"16",0.0853,5.745,5.514,9.163,1,2016,9,"09/01/16"
"17",0.0853,5.745,5.565,9.139,1,2016,9,"09/01/16"
"18",0.0853,5.796,5.693,9.114,1,2016,9,"09/01/16"
"19",0.0853,6,5.872,9.089,1,2016,9,"09/01/16"
"20",0.0853,6.306,6.128,9.089,1,2016,9,"09/01/16"
"21",0.0853,6.813,6.687,9.089,1,2016,9,"09/01/16"
"22",0.0853,7.594,7.494,9.139,1,2016,9,"09/01/16"
"23",0.0853,8.519,8.444,9.188,1,2016,9,"09/01/16"
"24",0.0845,9.262,9.188,9.312,1,2016,9,"09/01/16"
"25",0.0845,9.583,9.435,9.435,1,2016,9,"09/01/16"
"26",0.0845,10.026,9.829,9.583,1,2016,9,"09/01/16"
"27",0.0845,10.369,10.149,9.706,1,2016,9,"09/01/16"
"28",0.0845,10.761,10.663,9.854,1,2016,9,"09/01/16"
"29",0.0845,11.321,11.248,10.026,1,2016,9,"09/01/16"
"30",0.0845,11.759,11.492,10.173,1,2016,9,"09/01/16"
"31",0.0845,12.098,11.929,10.345,1,2016,9,"09/01/16"
"32",0.0845,12.001,11.759,10.467,1,2016,9,"09/01/16"
"33",0.0838,12.364,12.147,10.541,1,2016,9,"09/01/16"
"34",0.0838,14.505,13.522,10.614,1,2016,9,"09/01/16"
"35",0.0838,15.103,13.69,10.834,1,2016,9,"09/01/16"
"36",0.0838,14.433,13.088,11.102,1,2016,9,"09/01/16"
"37",0.0838,14.505,13.185,11.248,1,2016,9,"09/01/16"
"38",0.0838,14.05,13.137,11.321,1,2016,9,"09/01/16"
"39",0.0838,15.103,14.002,11.346,1,2016,9,"09/01/16"
"40",0.0838,16.701,15.318,11.394,1,2016,9,"09/01/16"
"41",0.0831,14.361,13.233,11.492,1,2016,9,"09/01/16"
"42",0.0831,12.534,12.098,11.467,1,2016,9,"09/01/16"
"43",0.0831,11.029,11.127,11.297,1,2016,9,"09/01/16"
"44",0.0831,10.638,10.883,11.029,1,2016,9,"09/01/16"
"45",0.0831,10.051,10.222,10.785,1,2016,9,"09/01/16"
"46",0.0831,9.064,9.04,10.59,1,2016,9,"09/01/16"
"47",0.0831,8.494,8.568,10.443,1,2016,9,"09/01/16"
"48",0.0831,8.195,8.195,10.271,1,2016,9,"09/01/16"
"49",0.0831,8.02,7.895,10.149,2,2016,9,"09/02/16"
"50",0.0831,7.845,7.82,10.051,2,2016,9,"09/02/16"
"51",0.0831,7.845,7.695,9.977,2,2016,9,"09/02/16"
"52",0.0831,7.619,7.645,9.928,2,2016,9,"09/02/16"
"53",0.0831,7.77,7.845,9.879,2,2016,9,"09/02/16"
"54",0.0831,7.695,7.594,9.829,2,2016,9,"09/02/16"
"55",0.0831,7.343,7.519,9.78,2,2016,9,"09/02/16"
"56",0.0831,7.318,8.095,9.731,2,2016,9,"09/02/16"
"57",0.0831,8.668,9.583,9.657,2,2016,9,"09/02/16"
"58",0.0831,8.817,9.706,9.657,2,2016,9,"09/02/16"
"59",0.0831,8.817,9.657,9.657,2,2016,9,"09/02/16"
"60",0.0831,8.941,9.657,9.657,2,2016,9,"09/02/16"
"61",0.0831,8.519,8.965,9.632,2,2016,9,"09/02/16"
"62",0.0831,8.22,8.916,9.632,2,2016,9,"09/02/16"
"63",0.0831,8.12,8.668,9.608,2,2016,9,"09/02/16"
"64",0.0831,7.895,8.519,9.583,2,2016,9,"09/02/16"
"65",0.0831,7.569,7.77,9.558,2,2016,9,"09/02/16"
"66",0.0831,7.695,8.07,9.534,2,2016,9,"09/02/16"
"67",0.0831,8.469,9.163,9.509,2,2016,9,"09/02/16"
"68",0.0831,8.17,8.494,9.509,2,2016,9,"09/02/16"
"69",0.0824,8.643,8.891,9.509,2,2016,9,"09/02/16"
"70",0.0831,9.706,9.805,9.534,2,2016,9,"09/02/16"
"71",0.0824,10.565,10.32,9.632,2,2016,9,"09/02/16"
"72",0.0824,10.516,10.443,9.78,2,2016,9,"09/02/16"
"73",0.0824,11.248,10.956,9.903,2,2016,9,"09/02/16"
"74",0.0824,11.807,11.321,10.026,2,2016,9,"09/02/16"
"75",0.0824,12.34,11.589,10.173,2,2016,9,"09/02/16"
"76",0.0824,12.34,11.516,10.32,2,2016,9,"09/02/16"
"77",0.0824,12.292,11.492,10.418,2,2016,9,"09/02/16"
"78",0.0824,12.219,11.54,10.516,2,2016,9,"09/02/16"
