"","Species","Estimate (log og)","Error","L95% CI log","U95% CI log","Estimate_log_sum","l_95_CI_log_sum","u_95_CI_log_sum","Estimate_trans","L95% CI back transformed","U95% CI back transformed","Rhat","Bulk ESS","Tail ESS","nobs","effect"
"Intercept","Salix richardsonii",2.71200009231746,0.0601093374965913,2.58722236619909,2.81112695077715,2.71200009231746,2.58722236619909,2.81112695077715,15.0593655347475,13.2927977527126,16.6286473304431,1.00177576907164,1975.31883240501,1622.30461132518,152,"fixed"
"Northern Source","Salix richardsonii",-0.260055293590576,0.0778235757352675,-0.396768155153377,-0.0911111852277464,2.45194479872688,2.19045421104571,2.72001576554941,11.6109056503496,8.93927250903233,15.1805615729608,1.00039304163716,2234.96850722441,2743.50248800011,152,"fixed"
"Southern Source","Salix richardsonii",0.0352763129029369,0.0598023257595801,-0.0780450202584304,0.156745574566737,2.74727640522039,2.50917734594066,2.96787252534389,15.6000856592877,12.2948115224451,19.4504951114866,1.00013688220551,3608.3890153855,3430.10283506922,152,"fixed"
"Southern Garden","Salix richardsonii",-0.167627309508524,0.0505261890813593,-0.266562085502445,-0.0682439339539508,2.54437278280893,2.32066028069665,2.7428830168232,12.7352378204182,10.1823953260287,15.5316987590634,1.00006716678633,5149.75586739415,4649.93958812209,152,"fixed"
"Year","Salix richardsonii",0.0738430817771787,0.0687500937762606,0.00442936742799902,0.219624834573281,0.0738430817771787,0.00442936742799902,0.219624834573281,1.07663784814257,1.00443919157547,1.24560933336015,1.00112467978923,1016.17666199069,1242.6062720669,152,"random"
"Sigma","Salix richardsonii",0.210599578484408,0.012424225066908,0.18774027377002,0.236701645399049,0.210599578484408,0.18774027377002,0.236701645399049,1.23441796857266,1.20652010973204,1.26706302729168,1.00074648868062,5193.09153201794,4085.74415099914,152,"residual"
"Intercept1","Salix pulchra",2.75128147725627,0.050730360425974,2.64445081500588,2.84456503660667,2.75128147725627,2.64445081500588,2.84456503660667,15.6626904107038,14.0757127898433,17.194078247569,1.00244831725516,2461.8116151488,2580.70133198284,133,"fixed"
"Northern Source1","Salix pulchra",-0.4286343038145,0.0667437735453478,-0.552094808903539,-0.286563017934072,2.32264717344177,2.09235600610234,2.5580020186726,10.2026467654868,8.10398573013246,12.9099975963396,1.00071826770983,2612.11155970208,3223.61072457496,133,"fixed"
"Southern Source1","Salix pulchra",-0.00327538445236736,0.061466622829449,-0.120663608783948,0.121741114371968,2.74800609280391,2.52378720622193,2.96630615097864,15.6114730021911,12.4757555660698,19.4200522032724,1.00130982787217,2535.06589791517,3609.05653180935,133,"fixed"
"Southern Garden1","Salix pulchra",-0.236514552221799,0.04974675266223,-0.334814365080154,-0.139814175597047,2.51476692503448,2.30963644992573,2.70475086100963,12.3637267680727,10.0707627628629,14.9505914512345,1.00053391411488,3900.90774702646,4324.55455140522,133,"fixed"
"Year1","Salix pulchra",0.0516235922905534,0.0461801724038453,0.00232019644003552,0.170487308416282,0.0516235922905534,0.00232019644003552,0.170487308416282,1.05297931837617,1.00232289017873,1.18588260111001,1.00369919317797,1434.53149514799,2217.76728385461,133,"random"
"Sigma1","Salix pulchra",0.203970457796373,0.0129422811530608,0.180316062804579,0.230489615227736,0.203970457796373,0.180316062804579,0.230489615227736,1.22626192644157,1.19759581880402,1.25921639054232,1.00034646474533,5726.63014496623,4202.3486951189,133,"residual"
"Intercept2","Salix arctica",2.45618994450157,0.106726682378662,2.22661281018803,2.66596464976626,2.45618994450157,2.22661281018803,2.66596464976626,11.6603004072035,9.26841895659983,14.3818162723597,1.00111309937541,2021.91041501693,2581.21609005664,96,"fixed"
"Northern Source2","Salix arctica",0.0127393138619404,0.0744215513051432,-0.129525738664092,0.161142799916254,2.46892925836351,2.09708707152394,2.82710744968251,11.8097948402836,8.14241705567116,16.8965160481933,1.0001917107306,3014.13659021671,3694.86367693311,96,"fixed"
"Southern Source2","Salix arctica",0.190242069315047,0.0679015363573206,0.055816155939649,0.32143699554827,2.64643201381662,2.28242896612768,2.98740164531453,14.1036272181682,9.8004564990532,19.8340795057518,1.00060941920559,3407.38467701255,4119.72744482813,96,"fixed"
"Southern Garden2","Salix arctica",-0.0538052425950849,0.0475793786990461,-0.146239446919579,0.039236098214643,2.40238470190648,2.08037336326845,2.7052007479809,11.049494738619,8.00745804695387,14.9573190407552,1.00005375435415,4351.98398696513,3468.67882017095,96,"fixed"
"Year2","Salix arctica",0.193972317676043,0.116597347716406,0.0703172703757645,0.506791862369068,0.193972317676043,0.0703172703757645,0.506791862369068,1.2140626744148,1.0728485103132,1.65995727215093,1.00062703090008,1388.89335546098,2211.71738416742,96,"random"
"Sigma2","Salix arctica",0.154411202756478,0.0119131852566968,0.133188482300469,0.180318396580939,0.154411202756478,0.133188482300469,0.180318396580939,1.16697064967964,1.14246531252911,1.19759861372809,1.00032831678857,5158.89900478499,3980.66481119069,96,"residual"
