"","Species","Estimate","Est.Error","l_95_CI_log","u_95_CI_log","Rhat","Bulk_ESS","Tail_ESS","nobs","effect","CI_low_trans","CI_high_trans","Estimate_trans","Est.Error_trans"
"Intercept","Salix richardsonii",13.8380722694931,0.234757295433036,13.313003387356,14.2533010670179,1.0009678231214,1907.49868102885,1139.90333264272,193,"fixed",20559066313261.5,230749703486754,68876690220636.9,1.71694860584317
"Northern source","Salix richardsonii",-0.0258759996086902,0.267794794371318,-0.53385818550045,0.508435301872219,1.00061040469436,5080.59876860474,3614.87526430221,193,"fixed",0.292510738633802,3.03463307023927,0.942158564604839,1.85265603025737
"Sample year","Salix richardsonii",0.262687788546064,0.308705849818453,0.00715191786375426,1.0740154798481,1.00208319460964,1330.06098801686,1940.31263206523,193,"random",1.0166042427165,3.29779503052039,1.83099765691724,2.03566284437863
"Sigma","Salix richardsonii",1.56487042576504,0.0806617658872286,1.41678441691647,1.72732534232208,1.00026048612183,5473.48444291525,3930.59366559961,193,"residual",26.1086500347672,51.6364568590229,36.7172736074941,1.2040978082877
"Intercept1","Salix pulchra",14.2691001798224,0.672544117682075,12.9307412764333,15.6859530321255,1.00187388027808,1496.88818491321,2131.78063479305,199,"fixed",8525920454552.53,4050037861553881,185823304904241,4.70483197200974
"Northern source1","Salix pulchra",-1.74552677204499,0.270566921786114,-2.27026746127744,-1.21903296194851,0.999947955219025,3926.41159482465,3586.54224759942,199,"fixed",0.00536701165896448,0.060146992607828,0.0179669031994349,1.86451946571515
"Sample year1","Salix pulchra",1.304015383411,0.722982863346184,0.450874526498389,3.19033065641017,1.00123903137322,1466.39089346923,2326.94721727228,199,"random",2.82406394708332,143.60059531142,20.1379558048647,5.2842440047484
"Sigma1","Salix pulchra",1.57597618992252,0.0786709681548675,1.42976800745025,1.73719854748742,1.00113252951326,3623.71688289476,3587.75420028335,199,"residual",26.9009741685081,52.7453735482573,37.6683146866166,1.19859087806887
"Intercept2","Salix arctica",8.28353818320955,1.49347247787527,5.33244699478356,11.2947860716708,1.00106390396427,2297.32747739464,2988.13821631934,60,"fixed",215004.225277361,171644294378.611,192104785.302585,31.1510347927449
"Northern source2","Salix arctica",0.542627065999318,0.521332224100062,-0.492662751919477,1.58339147215216,1.00061207705584,4420.98210155105,3453.43487698244,60,"fixed",0.321615705151554,37.8370164604848,3.48840633094394,3.32148445404485
"Sample year2","Salix arctica",3.18984034251091,1.47902670711957,1.39403938232241,7.04129380319404,1.00230354319278,2158.49516154196,2520.9642919119,60,"random",24.7764672329712,96747.8455678045,1548.24733992062,30.1319131594041
"Sigma2","Salix arctica",1.35538787656724,0.133858921428046,1.12888290293676,1.65343974137071,1.00056831049513,4005.15135972972,3450.96864631222,60,"residual",13.4549752409278,38.1850048586131,22.666678074816,1.36100249522587
