"","Bed","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","max_stem_diam","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","mean_stem_elong","mean_leaf_length","mean_width","population","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"100","IMS",2014,"Salix pulchra","Common_garden",NA,7,23,2023,16.8,46.4,28.6,20,29,31,34,12,49,21,"HERSP3",22294.272,27.33333333,31.33333333,37.5,"source_north",NA,NA,NA,NA,NA,1.3,68.3,NA,"HER_Sp_3","50% yellow, 20% yellowing",9
"101","IMS",2014,"Salix pulchra","Common_garden",NA,7,23,2023,7.7,9.7,8,7,17,22,18,20,15,12,"HERSP4",597.52,15.66666667,19,8.85,"source_north",NA,NA,NA,NA,NA,1.4,55.9,NA,"HER_Sp_4","90% yellowing",9
"102","MG",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,18,27,25,13,31,28,22,16,12,29,"HESP11",12150,19,27,26,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"103","CF",2013,"Salix pulchra","Common_garden",NA,8,11,2021,11.4,32,20,24,23,24,25,8,18,12,"HESP12",7296,12.66666667,24,26,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"104","MG",2013,"Salix pulchra","Common_garden",NA,8,11,2021,4,9.6,8.5,10,24,29,26,6,11,14,"HESP14",326.4,10.33333333,26.33333333,9.05,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"105","MG",2013,"Salix pulchra","Common_garden","2022-07-23",7,23,2022,5,9,6.5,9,11,12,14,5,5,2,"HESP17",292.5,4,12.33333333,7.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"106","IMS",2013,"Salix pulchra","Common_garden",NA,8,9,2021,4.4,6.9,3.1,10,NA,NA,NA,16,10,13,"HESP2",94.116,13,NA,5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"107","MG",2013,"Salix pulchra","Common_garden",NA,8,11,2021,5.5,9.2,7.7,12,16,12,NA,5,4,11,"HESP20",389.62,6.666666667,NA,8.45,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"108","IMS",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,8.5,26,23,10,31,29,28,41,28,31,"HESP24",5083,33.33333333,29.33333333,24.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"109","AB",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,12,19,16,18,20,26,21,18,17,19,"HESP29",3648,18,22.33333333,17.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"110","IMS",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,14,29,30,24,21,24,24,23,15,25,"HESP3",12180,21,23,29.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"111","IMS",2013,"Salix pulchra","Common_garden",NA,7,23,2023,14.3,15.6,9.9,11,30,24,24,22,7,8,"HESP4",2208.492,12.33333333,26,12.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"HeSp4","70% yellowing, cobweb",10
"112","SW",2013,"Salix richardsonii","Common_garden",NA,8,11,2021,11,5.5,6,14,NA,NA,NA,10,40,NA,"HESR13",363,NA,NA,5.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"113","LB",2013,"Salix richardsonii","Common_garden",NA,8,9,2021,10.5,16.5,9.8,16,NA,NA,NA,31,20,38,"HESR2",1697.85,29.66666667,NA,13.15,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"114","AC",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,9,10.4,9.4,8,21,22,19,7,5,4,"HESR23",879.84,5.333333333,20.66666667,9.9,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"HESR23","20% leaves are yellowing and going red",10
"115","AC",2013,"Salix richardsonii","Common_garden",NA,8,11,2021,10.1,4,3.8,8,NA,NA,NA,17,11,7,"HESR26",153.52,11.66666667,NA,3.9,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"116","LB",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,15.6,26.7,21,12,25,27,28,11,14,20,"HESR3",8746.92,15,26.66666667,23.85,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,"HeSR3","20% yellowing",10
"117","LB",2013,"Salix richardsonii","Common_garden",NA,8,6,2021,8.2,17.5,16,15,27,25,29,24,20,12,"HESR4",2296,18.66666667,27,16.75,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"118","SW",2013,"Salix richardsonii","Common_garden","2022-07-23",7,23,2022,11.5,20,14,25,25,21,21,22,10,15,"HESR7",3220,15.66666667,22.33333333,17,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"119","SW",2013,"Salix richardsonii","Common_garden","2022-07-23",7,23,2022,12,24,19,23,23,20,20,18,8,6,"HESR8",5472,10.66666667,21,21.5,"Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"120","JB",2015,"Salix arctica","Common_garden","2022-08-17",8,17,2022,4,16,11,6,22,23,36,7,3,6,"K15PSA10",704,5.333333333,27,13.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"121","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,8.1,39.2,21.2,34,62,66,58,28,31,15,"K15PSA11",6731.424,24.66666667,62,30.2,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa11","30% yellowing",8
"122","JB",2015,"Salix arctica","Common_garden","2022-08-17",8,17,2022,7,29,27,13,46,39,34,19,9,18,"K15PSA12",5481,15.33333333,39.66666667,28,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"123","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,5.3,16.3,12.9,12,31,29,41,12,12,5,"K15PSA15",1114.431,9.666666667,33.66666667,14.6,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"124","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,5.5,10.7,12.3,12,26,28,32,11,12,4,"K15PSA2",723.855,9,28.66666667,11.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"125","JB",2015,"Salix arctica","Common_garden",NA,8,11,2021,6,24.1,20.6,16,34,36,29,30,7,17,"K15PSA6",2978.76,18,33,22.35,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"126","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,10.3,57.8,49.7,28,73,67,65,22,14,20,"K15PSA7",29588.398,18.66666667,68.33333333,53.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa7","90% yellowing and redding, 15x20 cm dead patch",8
"127","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,4.2,25.8,23.1,20,36,35,37,5,9,12,"K15PSA8",2503.116,8.666666667,36,24.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa8","100% browning, redding and purpling",8
"128","JB",2015,"Salix arctica","Common_garden",NA,7,23,2023,9.4,37.2,36.9,23,54,57,68,48,45,36,"K15PSA9",12903.192,43,59.66666667,37.05,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa9","40% brown patches",8
"129","SW",2015,"Salix richardsonii","Common_garden",NA,7,23,2023,38.9,28.4,26.9,18,50,43,40,214,61,75,"K15SSR8",29718.044,116.6666667,44.33333333,27.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"K15SSr8","Looking green and happy",8
"130","JA",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,2.5,7,8,5,29,28,20,8,3,3,"K17SA5",140,4.666666667,25.66666667,7.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"131","LB",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,17.6,35.7,13.9,13,40,44,40,29,20,12,"K17SR6",8733.648,20.33333333,41.33333333,24.8,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"K17Sr6","100% green",6
"132","IMS",2013,"Salix pulchra","Common_garden",NA,8,9,2021,9.2,8.6,10.6,34,44,50,46,59,43,NA,"KLSPC1",838.672,NA,46.66666667,9.6,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"133","AB",2013,"Salix pulchra","Common_garden",NA,7,23,2023,32.3,110.4,72.9,45,51,62,43,50,55,26,"KLSPC13",259955.568,43.66666667,52,91.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSPC13","23% dead, 20% yellow crunchy sickly, 20% yellowing, 60% green",10
"134","IMS",2013,"Salix pulchra","Common_garden",NA,8,9,2021,14,9.5,3.4,12,20,21,21,9,13,18,"KLSPC2",452.2,13.33333333,20.66666667,6.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"135","IMS",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,20,49,40,18,35,34,45,17,21,33,"KLSPC3",39200,23.66666667,38,44.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"136","MG",2013,"Salix pulchra","Common_garden",NA,7,23,2023,5.7,18.3,22.9,24,25,24,30,5,7,11,"KLSPC8",2388.699,7.666666667,26.33333333,20.6,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSpC8","10% yellowing",10
"137","MG",2013,"Salix pulchra","Common_garden",NA,7,23,2023,16.5,46.6,28.7,23,38,32,37,54,16,18,"KLSPC9",22067.43,29.33333333,35.66666667,37.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSpC9","20% starting to yellow",10
"138","IMS",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,25.1,23.5,18,36,33,27,24,112,210,120,"KLSPE1",10617.3,147.3333333,28,20.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"139","MG",2013,"Salix pulchra","Common_garden",NA,8,11,2021,34.3,119.2,61.3,23,27,26,28,6,11,9,"KLSPE11",250628.728,8.666666667,27,90.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"140","MG",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,38,96,63,45,31,38,48,260,220,20,"KLSPE12",229824,166.6666667,39,79.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"141","MG",2013,"Salix pulchra","Common_garden",NA,7,23,2023,45.3,75.4,61.2,28,60,56,50,34,55,63,"KLSPE14",209035.944,50.66666667,55.33333333,68.3,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSpE14","Cut two dead branches 25% biomass, yellow leaves 10% biomass ",10
"142","MG",2013,"Salix pulchra","Common_garden",NA,8,11,2021,19.2,45.2,44.3,14,9,17,24,10,6,9,"KLSPE15",38445.312,8.333333333,16.66666667,44.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"143","IMS",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,31.5,135,92,51,30,29,45,91,43,35,"KLSPE2",391230,56.33333333,34.66666667,113.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"144","IMS",2013,"Salix pulchra","Common_garden",NA,7,23,2023,12.9,10,9.4,12,27,32,33,18,15,12,"KLSPE3",1212.6,15,30.66666667,9.7,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSPE3","5% yellowing, brown tips",10
"145","IMS",2013,"Salix pulchra","Common_garden",NA,7,23,2023,32.5,84.9,58.4,55,53,44,42,55,275,234,"KLSPE4",161140.2,188,46.33333333,71.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSPE4","One yellow dead branch 8%, 30% yellowing with rust, rest alive and green",10
"146","IMS",2013,"Salix pulchra","Common_garden",NA,7,23,2023,21.2,41.7,33.2,25,30,34,24,30,15,32,"KLSPE5",29350.128,25.66666667,29.33333333,37.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSpE5","30% rust, one branch with 15% of the plant dying without leaves",10
"147","CF",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,81,170,172,98,60,55,93,430,450,660,"KLSPE6",2368440,513.3333333,69.33333333,171,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"148","CF",2013,"Salix pulchra","Common_garden",NA,8,11,2021,27,29,27.5,26,34,35,32,20,49,42,"KLSPE7",21532.5,37,33.66666667,28.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"149","CF",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,17,106,24,67,37,40,35,43,71,19,"KLSPE8",43248,44.33333333,37.33333333,65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"150","CF",2013,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,32,134,79,47,64,31,61,440,370,220,"KLSPE9",338752,343.3333333,52,106.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"151","IR",2013,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,110,160,122,87,45,50,53,57,98,30,"KLSRC10",2147200,61.66666667,49.33333333,141,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"152","AC",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,75.8,150,143.5,115,68,63,71,190,175,37,"KLSRC13",1631595,134,67.33333333,146.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSRC13","Thriving",10
"153","LB",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,115.7,126.1,112.5,95,56,67,54,104,83,86,"KLSRC2",1641349.125,91,59,119.3,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSRC2","Green, happy and huge, 6% dead stems, spider webs",10
"154","IR",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,93.7,142.3,106.6,60,47,43,45,55,40,63,"KLSRC6",1421352.166,52.66666667,45,124.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSRC6","20% yellowing",10
"155","SW",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,81.4,113.9,78.6,55,50,58,61,35,554,88,"KLSRE10",728736.756,225.6666667,56.33333333,96.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE10","Eight branches removed, 50% of biomass, 2% yellowing",10
"156","IR",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,100.5,154.8,138.7,90,65,59,74,52,65,112,"KLSRE11",2157811.38,76.33333333,66,146.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE11","15% dead, removed, thriving, new growth near bottom, 2% dead branches",10
"157","IR",2013,"Salix richardsonii","Common_garden",NA,8,11,2021,103.5,118.8,117.6,67,36,49,44,36,83,137,"KLSRE13",1445986.08,85.33333333,43,118.2,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"158","IR",2013,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,25,95,43,33,37,36,49,16,18,13,"KLSRE14",102125,15.66666667,40.66666667,69,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"159","IR",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,86.3,130.7,82.9,50,50,53,48,77,54,230,"KLSRE15",935063.089,120.3333333,50.33333333,106.8,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE15","Three big branches removed and a bunch of smaller ones, 20% biomass removed, 20% brown patches on leaves",10
"160","LB",2013,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,113,245,235,120,48,45,34,60,60,100,"KLSRE4",6505975,73.33333333,42.33333333,240,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"161","SW",2013,"Salix richardsonii","Common_garden",NA,7,23,2023,83.4,126.5,97,48,52,54,50,78,65,32,"KLSRE6",1023359.7,58.33333333,52,111.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE6","%2 of biomass looks dead and removed, thriving and green",10
"162","SW",2013,"Salix richardsonii","Common_garden",NA,8,11,2021,68,87,68,58,52,42,43,136,73,68,"KLSRE7",402288,92.33333333,45.66666667,77.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"163","SW",2013,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,79,120,110,63,65,43,50,130,31,30,"KLSRE9",1042800,63.66666667,52.66666667,115,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"164","SAB",2016,"Salix arctica","Common_garden",NA,7,23,2023,7.2,12.2,10.1,16,42,39,45,6,3,11,"KP16SA6",887.184,6.666666667,42,11.15,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16Sa6","100% purple patches on leaves",7
"165","SL",2016,"Salix pulchra","Common_garden",NA,8,9,2021,24.5,36,21,12,29,28,32,7,21,11,"KP16SP24",18522,13,29.66666667,28.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"166","AB",2016,"Salix pulchra","Common_garden",NA,7,23,2023,32.9,57.4,45.6,38,49,42,49,46,18,58,"KP16SP33",86113.776,40.66666667,46.66666667,51.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16Sp33","22% dead, 3 branches removed, 15% yellow, 85% yellowing",7
"167","JG",2016,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,4.5,9.5,8,9,32,21,22,22,10,19,"KP16SP39",342,17,25,8.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"168","CF",2016,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,11,21,18,17,45,38,36,31,33,21,"KP16SP43",4158,28.33333333,39.66666667,19.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"169","CF",2016,"Salix pulchra","Common_garden",NA,7,23,2023,25,28.2,15,20,32,35,33,9,32,12,"KP16SP46",10575,17.66666667,33.33333333,21.6,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP46","One dead branch 50% of biomass, removed, 60% have just the very tippity top of the leaf is brown, rest green",7
"170","CF",2016,"Salix pulchra","Common_garden",NA,8,11,2021,13.6,8.3,6.5,9,23,20,26,20,18,4,"KP16SP51",733.72,14,23,7.4,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"171","CF",2016,"Salix pulchra","Common_garden",NA,7,23,2023,18.9,47.3,38.2,14,55,39,40,63,44,38,"KP16SP52",34149.654,48.33333333,44.66666667,42.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP52","5% browning mostly at tips, rest green",7
"172","CF",2016,"Salix pulchra","Common_garden",NA,8,11,2021,26,10,7,8,21,23,22,9,8,11,"KP16SP55",1820,9.333333333,22,8.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"173","JG",2016,"Salix pulchra","Common_garden",NA,7,23,2023,41.1,60.5,57.2,19,55,53,56,131,84,31,"KP16SP56",142230.66,82,54.66666667,58.85,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP56","80% tips of leaves are brown, 40% brown patches, cobwebs ",7
"174","JG",2016,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,18,61,33,20,28,21,24,74,37,16,"KP16SP59",36234,42.33333333,24.33333333,47,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"175","JG",2016,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,20,31,30,25,25,25,23,63,47,25,"KP16SP60",18600,45,24.33333333,30.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"176","IR",2016,"Salix richardsonii","Common_garden",NA,8,11,2021,31.2,11.7,12.1,17,25,26,27,17,21,32,"KP16SR26",4416.984,23.33333333,26,11.9,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"177","IR",2016,"Salix richardsonii","Common_garden",NA,8,11,2021,35.6,28.8,17.5,24,43,42,46,52,44,34,"KP16SR27",17942.4,43.33333333,43.66666667,23.15,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"178","GD",2016,"Salix richardsonii","Common_garden",NA,7,23,2023,47.4,43.9,39.4,35,50,52,48,78,42,102,"KP16SR36",81985.884,74,50,41.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16Sr36","100% green",7
"179","GD",2016,"Salix richardsonii","Common_garden",NA,7,23,2023,76.2,66.2,63,48,45,47,60,427,385,149,"KP16SR37",317799.72,320.3333333,50.66666667,64.6,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16Sr37","10% yellow, cobwebs",7
"180","LB",2016,"Salix richardsonii","Common_garden",NA,7,23,2023,26.1,16.8,12.5,22,24,29,28,11,14,22,"KP16SR41",5481,15.66666667,27,14.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR41","62% dead, two branches removed, 97% Redding and browning, 3% yellow",7
"181","GD",2016,"Salix richardsonii","Common_garden",NA,7,23,2023,27.4,27.9,14.5,18,35,32,31,13,39,15,"KP16SR51",11084.67,22.33333333,32.66666667,21.2,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR51","34% dead, two branches removed, 50% leaves have brown tips, cobwebs",7
"182","GD",2016,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,45,56,51.5,25,42,40,31,100,105,65,"KP16SR52",129780,90,37.66666667,53.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"183","GD",2016,"Salix richardsonii","Common_garden",NA,7,23,2023,21.6,45.2,37.6,22,39,40,42,54,41,57,"KP16SR53",36709.632,50.66666667,40.33333333,41.4,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR53","30% have brown patches",7
"184","EW",2016,"Salix richardsonii","Common_garden",NA,7,23,2023,65.9,64.7,50.2,49,46,44,43,124,228,109,"KP16SR57",214039.246,153.6666667,44.33333333,57.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp16sr57","15% yellowing, rest green",7
"185","EW",2016,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,46,66,51,31,43,41,41,200,170,180,"KP16SR58",154836,183.3333333,41.66666667,58.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"186","EW",2016,"Salix richardsonii","Common_garden",NA,7,23,2023,56,47.9,38.6,25,49,48,50,139,42,47,"KP16SR60",103540.64,76,49,43.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp16sr60","40% brown patches, rest green",7
"187","JA",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,3,12,10.5,10,37,19,16,12,5,10,"KP17SA2",378,9,24,11.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"188","JA",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,2.5,7,10,8,24,17,17,4,7,11,"KP17SA4",175,7.333333333,19.33333333,8.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"189","SAB",2017,"Salix arctica","Common_garden","2022-08-17",8,17,2022,5.5,19,19.5,10,42,33,33,9,17,24,"KP17SA6",2037.75,16.66666667,36,19.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"190","JB",2017,"Salix arctica","Common_garden",NA,7,23,2023,6.8,25.4,13.5,9,52,49,46,4,7,5,"KP17SA9",2331.72,5.333333333,49,19.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp17sa9","100% purple and brown patches, two clumps 3 cm apart",6
"191","IMS",2017,"Salix pulchra","Common_garden",NA,8,9,2021,19.9,15.4,8.8,11,26,25,29,22,8,11,"KP17SP1",2696.848,13.66666667,26.66666667,12.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"192","AB",2017,"Salix pulchra","Common_garden",NA,7,23,2023,31.6,41.5,41.4,22,44,53,39,29,44,23,"KP17SP12",54291.96,32,45.33333333,41.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp17sp12","10% yellow crunch, 20% yellowing, rest green",6
"193","IMS",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,16,25,16.5,18,22,18,50,46,19,13,"KP17SP2",6600,26,30,20.75,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"194","SL",2017,"Salix pulchra","Common_garden",NA,7,23,2023,36.2,88.2,43.5,20,52,62,67,104,451,198,"KP17SP5",138888.54,251,60.33333333,65.85,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP17SP5","24% dead, one branch removed by lady NATURE",6
"195","AB",2017,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,9.5,23,19,18,39,24,31,58,22,45,"KP17SP9",4151.5,41.66666667,31.33333333,21,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"196","LB",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,29.8,38.2,32.5,35,39,42,47,96,136,61,"KP17SR1",36996.7,97.66666667,42.66666667,35.35,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP17Sr1","All green, 5% curled leaves",6
"197","LB",2017,"Salix richardsonii","Common_garden","2022-08-17",8,17,2022,34.5,25,34,16,20,17,17,40,25,49,"KP17SR2",29325,38,18,29.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"198","LB",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,25.2,36.5,33.7,22,35,32,37,30,39,42,"KP17SR3",30997.26,37,34.66666667,35.1,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP17Sr3","100% green",6
"199","LB",2017,"Salix richardsonii","Common_garden",NA,7,23,2023,26.6,36.7,26.2,23,25,30,31,6,22,18,"KP17SR4",25576.964,15.33333333,28.66666667,31.45,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"KP17Sr4","Green, with 5% brown patches",6
"200","EW",2018,"Salix arctica","Common_garden","2022-08-17",8,17,2022,4.5,17,9,7,38,25,46,13,5,4,"KP18SA10",688.5,7.333333333,36.33333333,13,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"201","JA",2018,"Salix arctica","Common_garden",NA,8,11,2021,3.2,11.5,9.8,9,27,35,29,8,5,7,"KP18SA2",360.64,6.666666667,30.33333333,10.65,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"202","JA",2018,"Salix arctica","Common_garden","2022-08-17",8,17,2022,3,9.5,13,9,43,36,30,12,5,9,"KP18SA4",370.5,8.666666667,36.33333333,11.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"203","EW",2018,"Salix arctica","Common_garden",NA,7,23,2023,10.3,28.1,14.4,8,24,30,28,13,10,5,"KP18SA8",4167.792,9.333333333,27.33333333,21.25,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,"Kp18sa8","Two parts 10 cm apart, 100% brown patches on leaves",5
"204","EW",2018,"Salix arctica","Common_garden",NA,8,11,2021,2.1,8.4,5.7,6,31,30,26,8,3,2,"KP18SA9",100.548,4.333333333,29,7.05,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"205","JG",2018,"Salix pulchra","Common_garden","2022-08-17",8,17,2022,27,49,42,17,48,41,21,102,83,50,"KP18SP1",55566,78.33333333,36.66666667,45.5,"Southern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
