"","SampleID_standard","Length_1_mm","Length_2_mm","Length_3_mm","Month","Day","Year","Site","population","Species","mean_leaf_length","Bed","Year_planted","Sample_Date","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","max_biovol","mean_stem_elong","mean_width","Latitude","Longitude","Elevation","Date_propagated","Date_planted","Mother_LS","Cutting_length","Cutting_diameter","Sample_ID","July_2023_notes","Sample_age"
"95","HERSP12",36,31,29,7,23,2023,"Common_garden","Northern","Salix pulchra",32,"MG",2014,NA,21,34.2,35.2,15,29,11,30,25280.64,23.3333333333333,34.7,NA,NA,NA,NA,NA,1,57.8,NA,"HER_SP_12","Yellow leaves 40%",9
"96","HERSP14",18,21,16,7,23,2023,"Common_garden","Northern","Salix pulchra",18.3333333333333,"MG",2014,NA,3.3,5.5,5.8,11,3,2,8,105.27,4.33333333333333,5.65,NA,NA,NA,NA,NA,1.2,72.5,NA,"HER_Sp_14","100% leaves yellowing and browning",9
"97","HERSP24",29,32,27,7,23,2023,"Common_garden","Northern","Salix pulchra",29.3333333333333,"IMS",2014,NA,10.6,30,21.9,19,12,20,15,6964.2,15.6666666666667,25.95,NA,NA,NA,NA,NA,0.8,54.5,NA,"HER_Sp_24","30% yellowing, 10% rust",9
"98","HERSP29",18,28,26,7,23,2023,"Common_garden","Northern","Salix pulchra",24,"AB",2014,NA,12.9,21.1,19.5,19,15,12,20,5307.705,15.6666666666667,20.3,NA,NA,NA,NA,NA,1.3,45.9,NA,"HERSP29","20% yellow, rest yellowing",9
"99","HERSP3",29,31,34,7,23,2023,"Common_garden","Northern","Salix pulchra",31.3333333333333,"IMS",2014,NA,16.8,46.4,28.6,20,12,49,21,22294.272,27.3333333333333,37.5,NA,NA,NA,NA,NA,1.3,68.3,NA,"HER_Sp_3","50% yellow, 20% yellowing",9
"100","HERSP4",17,22,18,7,23,2023,"Common_garden","Northern","Salix pulchra",19,"IMS",2014,NA,7.7,9.7,8,7,20,15,12,597.52,15.6666666666667,8.85,NA,NA,NA,NA,NA,1.4,55.9,NA,"HER_Sp_4","90% yellowing",9
"101","HERSR4",47,55,34,7,23,2023,"Common_garden","Northern",NA,45.3333333333333,"LB",NA,NA,7.5,8.5,10.6,13,65,NA,NA,675.75,NA,9.55,NA,NA,NA,NA,NA,NA,NA,NA,"HER_SR_4","68% dead, removed 3 branches, big round leaves, 40% yellowing",NA
"102","HESP11",31,28,22,8,17,2022,"Common_garden","Northern","Salix pulchra",27,"MG",2013,"2022-08-17",18,27,25,13,16,12,29,12150,19,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"103","HESP12",30,22,23,8,17,2022,"Common_garden","Northern","Salix pulchra",25,"MG",2013,"2022-08-17",20,32,27,13,10,6,20,17280,12,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"104","HESP14",24,29,26,8,11,2021,"Common_garden","Northern","Salix pulchra",26.3333333333333,"MG",2013,NA,4,9.6,8.5,10,6,11,14,326.4,10.3333333333333,9.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"105","HESP17",17,13,14,8,11,2021,"Common_garden","Northern","Salix pulchra",14.6666666666667,"MG",2013,NA,12.5,9.5,7.6,7,3,4,4,902.5,3.66666666666667,8.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"106","HESP2",26,19,25,8,17,2022,"Common_garden","Northern","Salix pulchra",23.3333333333333,"IMS",2013,"2022-08-17",2.5,9,9.5,10,20,21,NA,213.75,NA,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"107","HESP20",16,12,NA,8,11,2021,"Common_garden","Northern","Salix pulchra",NA,"MG",2013,NA,5.5,9.2,7.7,12,5,4,11,389.62,6.66666666666667,8.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"108","HESP24",23,24,25,8,9,2021,"Common_garden","Northern","Salix pulchra",24,"IMS",2013,NA,19,25,15.6,9,23,15,22,7410,20,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"109","HESP29",20,26,21,8,17,2022,"Common_garden","Northern","Salix pulchra",22.3333333333333,"AB",2013,"2022-08-17",12,19,16,18,18,17,19,3648,18,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"110","HESP3",20,26,27,8,9,2021,"Common_garden","Northern","Salix pulchra",24.3333333333333,"IMS",2013,NA,15.5,38,22,15,12,36,19,12958,22.3333333333333,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"111","HESP4",30,24,24,7,23,2023,"Common_garden","Northern","Salix pulchra",26,"IMS",2013,NA,14.3,15.6,9.9,11,22,7,8,2208.492,12.3333333333333,12.75,NA,NA,NA,NA,NA,NA,NA,NA,"HeSp4","70% yellowing, cobweb",10
"112","HESR13",24,22,17,7,23,2023,"Common_garden","Northern","Salix richardsonii",21,"SW",2013,NA,14.4,11,5.3,8,12,8,10,839.52,10,8.15,NA,NA,NA,NA,NA,NA,NA,NA,"HeSR13","5% yellowing",10
"113","HESR2",25,23,22,7,23,2023,"Common_garden","Northern","Salix richardsonii",23.3333333333333,"LB",2013,NA,12.3,25.8,14.1,16,12,23,15,4474.494,16.6666666666667,19.95,NA,NA,NA,NA,NA,NA,NA,NA,"HeSR2","75% yellowing",10
"114","HESR23",21,22,19,7,23,2023,"Common_garden","Northern","Salix richardsonii",20.6666666666667,"AC",2013,NA,9,10.4,9.4,8,7,5,4,879.84,5.33333333333333,9.9,NA,NA,NA,NA,NA,NA,NA,NA,"HESR23","20% leaves are yellowing and going red",10
"115","HESR26",NA,NA,NA,8,11,2021,"Common_garden","Northern","Salix richardsonii",NA,"AC",2013,NA,10.1,4,3.8,8,17,11,7,153.52,11.6666666666667,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"116","HESR3",25,27,28,7,23,2023,"Common_garden","Northern","Salix richardsonii",26.6666666666667,"LB",2013,NA,15.6,26.7,21,12,11,14,20,8746.92,15,23.85,NA,NA,NA,NA,NA,NA,NA,NA,"HeSR3","20% yellowing",10
"117","HESR4",27,25,29,8,6,2021,"Common_garden","Northern","Salix richardsonii",27,"LB",2013,NA,8.2,17.5,16,15,24,20,12,2296,18.6666666666667,16.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"118","HESR7",26,29,25,7,23,2023,"Common_garden","Northern","Salix richardsonii",26.6666666666667,"SW",2013,NA,11.4,25.1,19.8,12,17,12,7,5665.572,12,22.45,NA,NA,NA,NA,NA,NA,NA,NA,"HeSR7","30% yellow",10
"119","HESR8",27,29,25,7,23,2023,"Common_garden","Northern","Salix richardsonii",27,"SW",2013,NA,16.2,22.9,17.2,20,4,16,32,6380.856,17.3333333333333,20.05,NA,NA,NA,NA,NA,NA,NA,NA,"HeSR8","65% yellow leaves, burn orange, brown",10
"120","K15PSA10",32,25,34,7,23,2023,"Common_garden","Southern","Salix arctica",30.3333333333333,"JB",2015,NA,5.2,13.9,12,5,2,11,14,867.36,9,12.95,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa10","100% yellowing and browning",8
"121","K15PSA11",62,66,58,7,23,2023,"Common_garden","Southern","Salix arctica",62,"JB",2015,NA,8.1,39.2,21.2,34,28,31,15,6731.424,24.6666666666667,30.2,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa11","30% yellowing",8
"122","K15PSA12",51,49,48,7,23,2023,"Common_garden","Southern","Salix arctica",49.3333333333333,"JB",2015,NA,6.1,34.3,32.7,11,28,22,44,6841.821,31.3333333333333,33.5,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa12","40% yellowing and redding",8
"123","K15PSA15",40,33,37,8,17,2022,"Common_garden","Southern","Salix arctica",36.6666666666667,"JB",2015,"2022-08-17",15.2,17,21,12,20,16,20,5426.4,18.6666666666667,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"124","K15PSA2",52,49,54,7,23,2023,"Common_garden","Southern","Salix arctica",51.6666666666667,"JB",2015,NA,6.6,26.6,20.3,12,18,12,30,3563.868,20,23.45,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa2","85% purple and red patches",8
"125","K15PSA6",51,52,52,7,23,2023,"Common_garden","Southern","Salix arctica",51.6666666666667,"JB",2015,NA,10.1,30.9,30.3,13,20,16,9,9456.327,15,30.6,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa6","70% purple-y brown red around the edges",8
"126","K15PSA7",73,67,65,7,23,2023,"Common_garden","Southern","Salix arctica",68.3333333333333,"JB",2015,NA,10.3,57.8,49.7,28,22,14,20,29588.398,18.6666666666667,53.75,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa7","90% yellowing and redding, 15x20 cm dead patch",8
"127","K15PSA8",41,40,32,8,17,2022,"Common_garden","Southern","Salix arctica",37.6666666666667,"JB",2015,"2022-08-17",4.5,25,26,9,20,16,19,2925,18.3333333333333,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"128","K15PSA9",54,57,68,7,23,2023,"Common_garden","Southern","Salix arctica",59.6666666666667,"JB",2015,NA,9.4,37.2,36.9,23,48,45,36,12903.192,43,37.05,NA,NA,NA,NA,NA,NA,NA,NA,"K15PSa9","40% brown patches",8
"129","K15SSR8",50,43,40,7,23,2023,"Common_garden","Southern","Salix richardsonii",44.3333333333333,"SW",2015,NA,38.9,28.4,26.9,18,214,61,75,29718.044,116.666666666667,27.65,NA,NA,NA,NA,NA,NA,NA,NA,"K15SSr8","Looking green and happy",8
"130","K17SA5",31,30,32,7,23,2023,"Common_garden","Southern","Salix arctica",31,"JA",2017,NA,3.5,9.8,7.7,4,3,2,2,264.11,2.33333333333333,8.75,NA,NA,NA,NA,NA,NA,NA,NA,"K17Sa5","100% green",6
"131","K17SR6",40,44,40,7,23,2023,"Common_garden","Southern","Salix richardsonii",41.3333333333333,"LB",2017,NA,17.6,35.7,13.9,13,29,20,12,8733.648,20.3333333333333,24.8,NA,NA,NA,NA,NA,NA,NA,NA,"K17Sr6","100% green",6
"132","KLSPC1",44,50,46,8,9,2021,"Common_garden","Southern","Salix pulchra",46.6666666666667,"IMS",2013,NA,9.2,8.6,10.6,34,59,43,NA,838.672,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"133","KLSPC13",34,39,41,8,11,2021,"Common_garden","Southern","Salix pulchra",38,"AB",2013,NA,40.4,93.6,118.2,35,75,51,20,446966.208,48.6666666666667,105.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"134","KLSPC2",25,23,15,8,17,2022,"Common_garden","Southern","Salix pulchra",21,"IMS",2013,"2022-08-17",9,15,5,10,14,8,37,675,19.6666666666667,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"135","KLSPC3",35,34,45,8,17,2022,"Common_garden","Southern","Salix pulchra",38,"IMS",2013,"2022-08-17",20,49,40,18,17,21,33,39200,23.6666666666667,44.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"136","KLSPC8",23,22,23,8,11,2021,"Common_garden","Southern","Salix pulchra",22.6666666666667,"MG",2013,NA,11.6,39.4,9.4,14,4,9,6,4296.176,6.33333333333333,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"137","KLSPC9",25,30,22,8,11,2021,"Common_garden","Southern","Salix pulchra",25.6666666666667,"MG",2013,NA,36.6,46.2,42.3,14,10,7,11,71525.916,9.33333333333333,44.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"138","KLSPE1",36,33,39,8,9,2021,"Common_garden","Southern","Salix pulchra",36,"IMS",2013,NA,67.5,65,56,33,220,15,72,245700,102.333333333333,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"139","KLSPE11",27,26,28,8,11,2021,"Common_garden","Southern","Salix pulchra",27,"MG",2013,NA,34.3,119.2,61.3,23,6,11,9,250628.728,8.66666666666667,90.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"140","KLSPE12",34,32,42,7,23,2023,"Common_garden","Southern","Salix pulchra",36,"MG",2013,NA,34.1,108.3,80.7,44,184,52,79,298027.521,105,94.5,NA,NA,NA,NA,NA,NA,NA,NA,"KLSpE12","Doing well",10
"141","KLSPE14",34,29,37,8,11,2021,"Common_garden","Southern","Salix pulchra",33.3333333333333,"MG",2013,NA,47.1,105.5,93.8,20,11,17,9,466096.89,12.3333333333333,99.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"142","KLSPE15",9,17,24,8,11,2021,"Common_garden","Southern","Salix pulchra",16.6666666666667,"MG",2013,NA,19.2,45.2,44.3,14,10,6,9,38445.312,8.33333333333333,44.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"143","KLSPE2",30,29,45,8,17,2022,"Common_garden","Southern","Salix pulchra",34.6666666666667,"IMS",2013,"2022-08-17",31.5,135,92,51,91,43,35,391230,56.3333333333333,113.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"144","KLSPE3",27,32,33,7,23,2023,"Common_garden","Southern","Salix pulchra",30.6666666666667,"IMS",2013,NA,12.9,10,9.4,12,18,15,12,1212.6,15,9.7,NA,NA,NA,NA,NA,NA,NA,NA,"KLSPE3","5% yellowing, brown tips",10
"145","KLSPE4",33,28,31,8,17,2022,"Common_garden","Southern","Salix pulchra",30.6666666666667,"IMS",2013,"2022-08-17",45,74,89,45,15,13,23,296370,17,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"146","KLSPE5",45,43,26,8,17,2022,"Common_garden","Southern","Salix pulchra",38,"IMS",2013,"2022-08-17",21.5,45,40.5,22,130,36,27,39183.75,64.3333333333333,42.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"147","KLSPE6",54,45,44,8,11,2021,"Common_garden","Southern","Salix pulchra",47.6666666666667,"CF",2013,NA,79,213,206,57,47,196,92,3466362,111.666666666667,209.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"148","KLSPE7",35,29,34,7,23,2023,"Common_garden","Southern","Salix pulchra",32.6666666666667,"CF",2013,NA,28.7,34.7,27.4,20,42,11,15,27287.386,22.6666666666667,31.05,NA,NA,NA,NA,NA,NA,NA,NA,"KLSPE7","20% browning at the tips of the leaves",10
"149","KLSPE8",40,43,33,8,11,2021,"Common_garden","Southern","Salix pulchra",38.6666666666667,"CF",2013,NA,44,90,26,39,162,18,35,102960,71.6666666666667,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"150","KLSPE9",64,31,61,8,17,2022,"Common_garden","Southern","Salix pulchra",52,"CF",2013,"2022-08-17",32,134,79,47,440,370,220,338752,343.333333333333,106.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"151","KLSRC10",68,67,59,7,23,2023,"Common_garden","Southern","Salix richardsonii",64.6666666666667,"IR",2013,NA,108.7,160.2,130.7,85,253,55,87,2275975.818,131.666666666667,145.45,NA,NA,NA,NA,NA,NA,NA,NA,"KLSRC10","All green, with spider webs",10
"152","KLSRC13",68,63,71,7,23,2023,"Common_garden","Southern","Salix richardsonii",67.3333333333333,"AC",2013,NA,75.8,150,143.5,115,190,175,37,1631595,134,146.75,NA,NA,NA,NA,NA,NA,NA,NA,"KLSRC13","Thriving",10
"153","KLSRC2",52,40,45,8,17,2022,"Common_garden","Southern","Salix richardsonii",45.6666666666667,"LB",2013,"2022-08-17",127,140,110,60,90,80,80,1955800,83.3333333333333,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"154","KLSRC6",47,43,45,7,23,2023,"Common_garden","Southern","Salix richardsonii",45,"IR",2013,NA,93.7,142.3,106.6,60,55,40,63,1421352.166,52.6666666666667,124.45,NA,NA,NA,NA,NA,NA,NA,NA,"KLSRC6","20% yellowing",10
"155","KLSRE10",41,50,40,8,17,2022,"Common_garden","Southern","Salix richardsonii",43.6666666666667,"SW",2013,"2022-08-17",110,128,155,43,30,21,35,2182400,28.6666666666667,141.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"156","KLSRE11",47,41,43,8,11,2021,"Common_garden","Southern","Salix richardsonii",43.6666666666667,"IR",2013,NA,98.9,213,153.5,61,56,51,25,3233584.95,44,183.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"157","KLSRE13",44,38,40,7,23,2023,"Common_garden","Southern","Salix richardsonii",40.6666666666667,"IR",2013,NA,105.3,140.7,107.3,66,92,84,79,1589725.683,85,124,NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE13","20% yellowing, 15% browning",10
"158","KLSRE14",35,36,46,8,11,2021,"Common_garden","Southern","Salix richardsonii",39,"IR",2013,NA,49.2,90.2,74.5,29,30,67,17,330619.08,38,82.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"159","KLSRE15",63,54,50,8,11,2021,"Common_garden","Southern","Salix richardsonii",55.6666666666667,"IR",2013,NA,104.7,138.5,131.7,31,198,122,25,1909775.115,115,135.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"160","KLSRE4",54,55,59,7,23,2023,"Common_garden","Southern","Salix richardsonii",56,"LB",2013,NA,102.6,273,239.5,115,128,110,116,6708347.1,118,256.25,NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE4","Green, happy and huge",10
"161","KLSRE6",52,54,50,7,23,2023,"Common_garden","Southern","Salix richardsonii",52,"SW",2013,NA,83.4,126.5,97,48,78,65,32,1023359.7,58.3333333333333,111.75,NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE6","%2 of biomass looks dead and removed, thriving and green",10
"162","KLSRE7",52,42,43,8,11,2021,"Common_garden","Southern","Salix richardsonii",45.6666666666667,"SW",2013,NA,68,87,68,58,136,73,68,402288,92.3333333333333,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"163","KLSRE9",49,56,52,7,23,2023,"Common_garden","Southern","Salix richardsonii",52.3333333333333,"SW",2013,NA,78.8,127.1,124.6,62,98,35,25,1247928.808,52.6666666666667,125.85,NA,NA,NA,NA,NA,NA,NA,NA,"KLSRE9","Lots of small branches removed because dead, 15% biomass, 2% yellowing",10
"164","KP16SA6",42,39,45,7,23,2023,"Common_garden","Southern","Salix arctica",42,"SAB",2016,NA,7.2,12.2,10.1,16,6,3,11,887.184,6.66666666666667,11.15,NA,NA,NA,NA,NA,NA,NA,NA,"KP16Sa6","100% purple patches on leaves",7
"165","KP16SP24",29,28,32,8,9,2021,"Common_garden","Southern","Salix pulchra",29.6666666666667,"SL",2016,NA,24.5,36,21,12,7,21,11,18522,13,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"166","KP16SP33",35,33,45,8,17,2022,"Common_garden","Southern","Salix pulchra",37.6666666666667,"AB",2016,"2022-08-17",33,65,44,35,20,50,145,94380,71.6666666666667,54.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"167","KP16SP39",44,39,35,7,23,2023,"Common_garden","Southern","Salix pulchra",39.3333333333333,"JG",2016,NA,7.9,11.4,6.5,5,6,73,4,585.39,27.6666666666667,8.95,NA,NA,NA,NA,NA,NA,NA,NA,"KP16Sp39","50% yellow, 50% early yellowing",7
"168","KP16SP43",29,30,42,8,11,2021,"Common_garden","Southern","Salix pulchra",33.6666666666667,"CF",2016,NA,18.5,27,18,14,27,24,6,8991,19,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"169","KP16SP46",64,51,47,8,17,2022,"Common_garden","Southern","Salix pulchra",54,"CF",2016,"2022-08-17",22,41,20,19,230,50,70,18040,116.666666666667,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"170","KP16SP51",37,35,30,7,23,2023,"Common_garden","Southern","Salix pulchra",34,"CF",2016,NA,21.7,17.2,14.1,7,11,68,55,5262.684,44.6666666666667,15.65,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP51","100% green, 100% happy",7
"171","KP16SP52",55,39,40,7,23,2023,"Common_garden","Southern","Salix pulchra",44.6666666666667,"CF",2016,NA,18.9,47.3,38.2,14,63,44,38,34149.654,48.3333333333333,42.75,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP52","5% browning mostly at tips, rest green",7
"172","KP16SP55",21,23,22,8,11,2021,"Common_garden","Southern","Salix pulchra",22,"CF",2016,NA,26,10,7,8,9,8,11,1820,9.33333333333333,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"173","KP16SP56",55,53,56,7,23,2023,"Common_garden","Southern","Salix pulchra",54.6666666666667,"JG",2016,NA,41.1,60.5,57.2,19,131,84,31,142230.66,82,58.85,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SP56","80% tips of leaves are brown, 40% brown patches, cobwebs ",7
"174","KP16SP59",36,41,42,7,23,2023,"Common_garden","Southern","Salix pulchra",39.6666666666667,"JG",2016,NA,22.3,72.9,40.9,19,28,16,25,66489.903,23,56.9,NA,NA,NA,NA,NA,NA,NA,NA,"Kp16sp59","10% brown patches, rest green",7
"175","KP16SP60",39,32,27,7,23,2023,"Common_garden","Southern","Salix pulchra",32.6666666666667,"JG",2016,NA,34.3,46,27.5,25,295,34,27,43389.5,118.666666666667,36.75,NA,NA,NA,NA,NA,NA,NA,NA,"Kp16sp60","30% yellowing, rest green",7
"176","KP16SR26",25,26,27,8,11,2021,"Common_garden","Southern","Salix richardsonii",26,"IR",2016,NA,31.2,11.7,12.1,17,17,21,32,4416.984,23.3333333333333,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"177","KP16SR27",32,33,34,8,17,2022,"Common_garden","Southern","Salix richardsonii",33,"IR",2016,"2022-08-17",32,33,28,20,42,36,21,29568,33,30.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"178","KP16SR36",50,52,48,7,23,2023,"Common_garden","Southern","Salix richardsonii",50,"GD",2016,NA,47.4,43.9,39.4,35,78,42,102,81985.884,74,41.65,NA,NA,NA,NA,NA,NA,NA,NA,"KP16Sr36","100% green",7
"179","KP16SR37",34,37,41,8,17,2022,"Common_garden","Southern","Salix richardsonii",37.3333333333333,"GD",2016,"2022-08-17",83,67,68,35,175,560,180,378148,305,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"180","KP16SR41",33,30,37,8,17,2022,"Common_garden","Southern","Salix richardsonii",33.3333333333333,"LB",2016,"2022-08-17",29,31,34,12,110,90,120,30566,106.666666666667,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"181","KP16SR51",40,32,46,8,17,2022,"Common_garden","Southern","Salix richardsonii",39.3333333333333,"GD",2016,"2022-08-17",38,36,30,14,95,170,130,41040,131.666666666667,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"182","KP16SR52",42,40,31,8,17,2022,"Common_garden","Southern","Salix richardsonii",37.6666666666667,"GD",2016,"2022-08-17",45,56,51.5,25,100,105,65,129780,90,53.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"183","KP16SR53",39,40,42,7,23,2023,"Common_garden","Southern","Salix richardsonii",40.3333333333333,"GD",2016,NA,21.6,45.2,37.6,22,54,41,57,36709.632,50.6666666666667,41.4,NA,NA,NA,NA,NA,NA,NA,NA,"KP16SR53","30% have brown patches",7
"184","KP16SR57",49,48,45,8,17,2022,"Common_garden","Southern","Salix richardsonii",47.3333333333333,"EW",2016,"2022-08-17",76,77,56,35,240,250,150,327712,213.333333333333,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"185","KP16SR58",33,35,37,7,23,2023,"Common_garden","Southern","Salix richardsonii",35,"EW",2016,NA,38.6,75.2,55.4,29,66,84,42,160810.688,64,65.3,NA,NA,NA,NA,NA,NA,NA,NA,"Kp16sr58","60% starting to yellow, 60% brown patches",7
"186","KP16SR60",49,48,50,7,23,2023,"Common_garden","Southern","Salix richardsonii",49,"EW",2016,NA,56,47.9,38.6,25,139,42,47,103540.64,76,43.25,NA,NA,NA,NA,NA,NA,NA,NA,"Kp16sr60","40% brown patches, rest green",7
"187","KP17SA2",46,42,36,7,23,2023,"Common_garden","Southern","Salix arctica",41.3333333333333,"JA",2017,NA,4.1,17.8,15.8,8,6,8,4,1153.084,6,16.8,NA,NA,NA,NA,NA,NA,NA,NA,"KP17Sa2","60% brown patches",6
"188","KP17SA4",25,20,32,7,23,2023,"Common_garden","Southern","Salix arctica",25.6666666666667,"JA",2017,NA,4.4,11.9,10,6,5,6,3,523.6,4.66666666666667,10.95,NA,NA,NA,NA,NA,NA,NA,NA,"KP17Sa4","25% purple patches",6
"189","KP17SA6",42,33,33,8,17,2022,"Common_garden","Southern","Salix arctica",36,"SAB",2017,"2022-08-17",5.5,19,19.5,10,9,17,24,2037.75,16.6666666666667,19.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"190","KP17SA9",52,49,46,7,23,2023,"Common_garden","Southern","Salix arctica",49,"JB",2017,NA,6.8,25.4,13.5,9,4,7,5,2331.72,5.33333333333333,19.45,NA,NA,NA,NA,NA,NA,NA,NA,"Kp17sa9","100% purple and brown patches, two clumps 3 cm apart",6
"191","KP17SP1",36,35,38,7,23,2023,"Common_garden","Southern","Salix pulchra",36.3333333333333,"IMS",2017,NA,25.8,24.2,13.4,9,71,8,17,8366.424,32,18.8,NA,NA,NA,NA,NA,NA,NA,NA,"KP17SP1","Green with a couple of brown tips",6
"192","KP17SP12",44,53,39,7,23,2023,"Common_garden","Southern","Salix pulchra",45.3333333333333,"AB",2017,NA,31.6,41.5,41.4,22,29,44,23,54291.96,32,41.45,NA,NA,NA,NA,NA,NA,NA,NA,"Kp17sp12","10% yellow crunch, 20% yellowing, rest green",6
"193","KP17SP2",41,27,32,7,23,2023,"Common_garden","Southern","Salix pulchra",33.3333333333333,"IMS",2017,NA,19.8,19.2,128,16,24,31,45,48660.48,33.3333333333333,73.6,NA,NA,NA,NA,NA,NA,NA,NA,"KP17SP2","Couple of rusty leaves 5% brown",6
"194","KP17SP5",52,62,67,7,23,2023,"Common_garden","Southern","Salix pulchra",60.3333333333333,"SL",2017,NA,36.2,88.2,43.5,20,104,451,198,138888.54,251,65.85,NA,NA,NA,NA,NA,NA,NA,NA,"KP17SP5","24% dead, one branch removed by lady NATURE",6
"195","KP17SP9",22,20,25,7,23,2023,"Common_garden","Southern","Salix pulchra",22.3333333333333,"AB",2017,NA,9.4,25.6,21.9,11,10,11,11,5270.016,10.6666666666667,23.75,NA,NA,NA,NA,NA,NA,NA,NA,"Kp17sp9","40% yellowing",6
"196","KP17SR1",45,46,41,8,17,2022,"Common_garden","Southern","Salix richardsonii",44,"LB",2017,"2022-08-17",27,36,42,23,90,50,85,40824,75,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"197","KP17SR2",20,17,17,8,17,2022,"Common_garden","Southern","Salix richardsonii",18,"LB",2017,"2022-08-17",34.5,25,34,16,40,25,49,29325,38,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"198","KP17SR3",31,29,29,8,17,2022,"Common_garden","Southern","Salix richardsonii",29.6666666666667,"LB",2017,"2022-08-17",34.5,40,45,17,45,23,21,62100,29.6666666666667,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"199","KP17SR4",24,23,24,8,17,2022,"Common_garden","Southern","Salix richardsonii",23.6666666666667,"LB",2017,"2022-08-17",27,28,36,20,26,32,18,27216,25.3333333333333,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
